"Node","Policy","EventName","ProcessEntityId","ProcessName","HostName","Timestamp"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073209501084332"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073212501072087"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073219501126345"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073222501088201"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073229501133479"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073232501245293"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073239501109113"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073242501061718"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073249501083397"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073252501088872"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073259501087109"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073262213276488"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073262501090474"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073269501126093"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073272501057208"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073279501099486"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073282222945608"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073282501059001"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073289501099268"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073292501088094"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073294001120955"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073299501083141"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073302501113095"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073309501102344"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073312501070829"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073319501081987"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073322501109311"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073326889809409"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073327251153654"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073329501194647"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073330001083413"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073332501085742"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073339501106340"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073342501086275"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073349501122423"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073352501084907"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073359501099783"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073362501114928"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073369501092215"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073372501109319"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073379501088316"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073382501121370"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073389501041918"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073392501096603"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073399501093151"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073402501070867"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073405501117221"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073409501125084"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073412501090580"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073419501124008"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073422501097293"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073429501097071"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073432501081516"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073439501145264"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073442501103428"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073449501113947"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073452501076051"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073459501052181"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073462501074305"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073469501088362"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073472501127248"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073479501081535"
"master","falco-ref-clear-log","do_truncate","545996022","systemd-journal","master","1789073482501085819"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789072893498428181"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789072896998460603"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789072912498450208"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789072921498440236"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789072923748423125"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789072953748412120"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789072973248422052"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789072983748442856"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073014748436764"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073021748412642"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073044748419763"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073048498426089"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073059248465415"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073074998427391"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073075998437679"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073076498448553"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073080498421756"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073081085912936"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073081399225113"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073081682881336"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073081998419739"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073082293411137"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073082604435387"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073082857278343"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073083147818617"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073083456738720"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073083748436708"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073084037746650"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073084346950612"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073084650998321"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073084972439272"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073085248443071"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073085575341640"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073085892226028"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073086206210336"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073086498428957"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073086763819952"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073087046092670"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073087325034439"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073087748399652"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073104998407742"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073122998374611"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073139998420554"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073142248455728"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073160998419179"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073173248441446"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073194998421043"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073203248432617"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073233248439266"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073266498499110"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073282248434635"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073282998453457"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073296498468170"
"worker1","falco-ref-clear-log","do_truncate","2204840935","systemd-journal","worker1","1789073326498416780"
