"Node","Time","EventType","Policy","PID","ExecID","Binary","Function"
"master","2026-08-29T17:41:45.101578643Z","process_kprobe","falco-ref-private-key-search","3631594","bWFzdGVyOjI4NTk4MzkxNDAwMjk2NjU6MzYzMTU5NA==","/usr/bin/bash","__x64_sys_execve"
"master","2026-08-29T17:41:45.309502885Z","process_kprobe","falco-ref-private-key-search","3631612","bWFzdGVyOjI4NTk4MzkzNDc5ODE2MDY6MzYzMTYxMg==","/usr/bin/bash","__x64_sys_execve"
"master","2026-08-29T17:41:50.364999405Z","process_kprobe","falco-ref-private-key-search","3631679","bWFzdGVyOjI4NTk4NDQ0MDM2MTMwMDY6MzYzMTY3OQ==","/usr/bin/bash","__x64_sys_execve"
"master","2026-08-29T17:41:50.551731179Z","process_kprobe","falco-ref-private-key-search","3631697","bWFzdGVyOjI4NTk4NDQ1OTAwMzA2NDE6MzYzMTY5Nw==","/usr/bin/bash","__x64_sys_execve"
