"Node","Time","EventType","Policy","PID","ExecID","Binary","Function"
"master","2026-08-29T17:48:35.923237794Z","process_kprobe","falco-ref-sensitive-read-untrusted","3638292","bWFzdGVyOjI4NjAyNDk2MjU5MjgzNzM6MzYzODI5Mg==","/usr/lib/openssh/sshd-session","security_file_permission"
"master","2026-08-29T17:48:35.923268874Z","process_kprobe","falco-ref-sensitive-read-untrusted","3638292","bWFzdGVyOjI4NjAyNDk2MjU5MjgzNzM6MzYzODI5Mg==","/usr/lib/openssh/sshd-session","security_file_permission"
"master","2026-08-29T17:48:35.923318573Z","process_kprobe","falco-ref-sensitive-read-untrusted","3638292","bWFzdGVyOjI4NjAyNDk2MjU5MjgzNzM6MzYzODI5Mg==","/usr/lib/openssh/sshd-session","security_file_permission"
"master","2026-08-29T17:48:35.923354293Z","process_kprobe","falco-ref-sensitive-read-untrusted","3638292","bWFzdGVyOjI4NjAyNDk2MjU5MjgzNzM6MzYzODI5Mg==","/usr/lib/openssh/sshd-session","security_file_permission"
"master","2026-08-29T17:48:35.923383963Z","process_kprobe","falco-ref-sensitive-read-untrusted","3638292","bWFzdGVyOjI4NjAyNDk2MjU5MjgzNzM6MzYzODI5Mg==","/usr/lib/openssh/sshd-session","security_file_permission"
"master","2026-08-29T17:48:35.923415033Z","process_kprobe","falco-ref-sensitive-read-untrusted","3638292","bWFzdGVyOjI4NjAyNDk2MjU5MjgzNzM6MzYzODI5Mg==","/usr/lib/openssh/sshd-session","security_file_permission"
"master","2026-08-29T17:48:35.923444553Z","process_kprobe","falco-ref-sensitive-read-untrusted","3638292","bWFzdGVyOjI4NjAyNDk2MjU5MjgzNzM6MzYzODI5Mg==","/usr/lib/openssh/sshd-session","security_file_permission"
"master","2026-08-29T17:48:35.923474272Z","process_kprobe","falco-ref-sensitive-read-untrusted","3638292","bWFzdGVyOjI4NjAyNDk2MjU5MjgzNzM6MzYzODI5Mg==","/usr/lib/openssh/sshd-session","security_file_permission"
"master","2026-08-29T17:48:35.923503392Z","process_kprobe","falco-ref-sensitive-read-untrusted","3638292","bWFzdGVyOjI4NjAyNDk2MjU5MjgzNzM6MzYzODI5Mg==","/usr/lib/openssh/sshd-session","security_file_permission"
"master","2026-08-29T17:48:35.923552112Z","process_kprobe","falco-ref-sensitive-read-untrusted","3638292","bWFzdGVyOjI4NjAyNDk2MjU5MjgzNzM6MzYzODI5Mg==","/usr/lib/openssh/sshd-session","security_file_permission"
"master","2026-08-29T17:48:35.923564563Z","process_kprobe","falco-ref-sensitive-read-untrusted","3638292","bWFzdGVyOjI4NjAyNDk2MjU5MjgzNzM6MzYzODI5Mg==","/usr/lib/openssh/sshd-session","security_file_permission"
"master","2026-08-29T17:48:39.469711244Z","process_kprobe","falco-ref-private-key-search","3638352","bWFzdGVyOjI4NjAyNTM1MDgzNjkzNTQ6MzYzODM1Mg==","/usr/bin/bash","__x64_sys_execve"
"master","2026-08-29T17:48:39.653652592Z","process_kprobe","falco-ref-private-key-search","3638370","bWFzdGVyOjI4NjAyNTM2OTIyMTgyMTM6MzYzODM3MA==","/usr/bin/bash","__x64_sys_execve"
